year,week,trends_dengue,region
2019,1,51,CABA
2019,2,51,CABA
2019,3,38,CABA
2019,4,70,CABA
2019,5,100,CABA
2019,6,41,CABA
2019,7,28,CABA
2019,8,65,CABA
2019,9,31,CABA
2019,10,22,CABA
2019,11,23,CABA
2019,12,44,CABA
2019,13,43,CABA
2019,14,32,CABA
2019,15,29,CABA
2019,16,38,CABA
2019,17,31,CABA
2019,18,25,CABA
2019,19,27,CABA
2019,20,32,CABA
2019,21,25,CABA
2019,22,17,CABA
2019,23,21,CABA
2019,24,21,CABA
2019,25,24,CABA
2019,26,17,CABA
2019,27,0,CABA
2019,28,0,CABA
2019,29,0,CABA
2019,30,0,CABA
2019,31,0,CABA
2019,32,11,CABA
2019,33,14,CABA
2019,34,22,CABA
2019,35,12,CABA
2019,36,0,CABA
2019,37,13,CABA
2019,38,18,CABA
2019,39,18,CABA
2019,40,18,CABA
2019,41,29,CABA
2019,42,15,CABA
2019,43,29,CABA
2019,44,28,CABA
2019,45,36,CABA
2019,46,27,CABA
2019,47,25,CABA
2019,48,24,CABA
2019,49,22,CABA
2019,50,28,CABA
2019,51,26,CABA
2019,52,27,CABA